,subject_id,age,hair_type,hair_color,eye_color,monk_scale,fitz_type
56,9,adult,wavy,black,brown,scale 6,type v
57,10,adult,wavy,brunette,brown,scale 4,type iii
58,10,adult,wavy,brunette,brown,scale 4,type iii
59,10,adult,wavy,brunette,brown,scale 4,type iii
60,10,adult,wavy,brunette,brown,scale 4,type iii
61,10,adult,wavy,brunette,brown,scale 4,type iii
62,10,adult,wavy,brunette,brown,scale 4,type iii
63,11,adult,wavy,black,brown,scale 4,type iii
64,11,adult,wavy,black,brown,scale 4,type iii
65,11,adult,wavy,black,brown,scale 4,type iii
66,11,adult,wavy,black,brown,scale 4,type iii
67,11,adult,wavy,black,brown,scale 4,type iii
68,11,adult,wavy,black,brown,scale 4,type iii
69,12,young adult,straight,black,brown,scale 4,type iii
70,12,young adult,straight,black,brown,scale 4,type iii
71,12,young adult,straight,black,brown,scale 4,type iii
72,12,young adult,straight,black,brown,scale 4,type iii
73,12,young adult,straight,black,brown,scale 4,type iii
74,12,young adult,straight,black,brown,scale 4,type iii
75,13,adult,curly,black,black,scale 6,type v
76,13,adult,curly,black,black,scale 6,type v
77,13,adult,curly,black,black,scale 6,type v
78,13,adult,curly,black,black,scale 6,type v
79,13,adult,curly,black,black,scale 6,type v
80,14,young adult,straight,black,black,scale 6,type iv
81,14,young adult,straight,black,black,scale 6,type iv
82,14,young adult,straight,black,black,scale 6,type iv
83,15,young adult,wavy,black,brown,scale 6,type iv
84,15,young adult,wavy,black,brown,scale 6,type iv
85,15,young adult,wavy,black,brown,scale 6,type iv
86,15,young adult,wavy,black,brown,scale 6,type iv
87,15,young adult,wavy,black,brown,scale 6,type iv
88,15,young adult,wavy,black,brown,scale 6,type iv
89,16,young adult,wavy,black,brown,scale 5,type iv
90,16,young adult,wavy,black,brown,scale 5,type iv
91,16,young adult,wavy,black,brown,scale 5,type iv
92,16,young adult,wavy,black,brown,scale 5,type iv
93,16,young adult,wavy,black,brown,scale 5,type iv
94,16,young adult,wavy,black,brown,scale 5,type iv
95,17,adult,wavy,brunette,brown,scale 3,type ii
96,17,adult,wavy,brunette,brown,scale 3,type ii
97,17,adult,wavy,brunette,brown,scale 3,type ii
98,17,adult,wavy,brunette,brown,scale 3,type ii
99,17,adult,wavy,brunette,brown,scale 3,type ii
100,17,adult,wavy,brunette,brown,scale 3,type ii
101,18,young adult,wavy,brunette,brown,scale 5,type iv
102,18,young adult,wavy,brunette,brown,scale 5,type iv
103,18,young adult,wavy,brunette,brown,scale 5,type iv
104,19,young adult,curly,brunette,amber,scale 5,type iii
105,19,young adult,curly,brunette,amber,scale 5,type iii
106,19,young adult,curly,brunette,amber,scale 5,type iii
107,19,young adult,curly,brunette,amber,scale 5,type iii
108,19,young adult,curly,brunette,amber,scale 5,type iii
109,19,young adult,curly,brunette,amber,scale 5,type iii
110,20,adult,straight,black,black,scale 5,type iv
111,20,adult,straight,black,black,scale 5,type iv
112,20,adult,straight,black,black,scale 5,type iv
113,20,adult,straight,black,black,scale 5,type iv
114,20,adult,straight,black,black,scale 5,type iv
115,20,adult,straight,black,black,scale 5,type iv
116,21,adult,wavy,black,black,scale 6,type v
117,21,adult,wavy,black,black,scale 6,type v
118,21,adult,wavy,black,black,scale 6,type v
119,21,adult,wavy,black,black,scale 6,type v
120,21,adult,wavy,black,black,scale 6,type v
121,22,young adult,wavy,black,black,scale 3,type ii
122,22,young adult,wavy,black,black,scale 3,type ii
123,22,young adult,wavy,black,black,scale 3,type ii
124,22,young adult,wavy,black,black,scale 3,type ii
125,22,young adult,wavy,black,black,scale 3,type ii
126,22,young adult,wavy,black,black,scale 3,type ii
127,23,young adult,curly,brunette,brown,scale 5,type iii
128,23,young adult,curly,brunette,brown,scale 5,type iii
129,23,young adult,curly,brunette,brown,scale 5,type iii
130,23,young adult,curly,brunette,brown,scale 5,type iii
131,24,young adult,straight,brunette,black,scale 5,type iii
132,24,young adult,straight,brunette,black,scale 5,type iii
133,24,young adult,straight,brunette,black,scale 5,type iii
134,24,young adult,straight,brunette,black,scale 5,type iii
135,24,young adult,straight,brunette,black,scale 5,type iii
136,25,adult,straight,black,brown,scale 5,type iv
137,25,adult,straight,black,brown,scale 5,type iv
138,26,adult,straight,brunette,black,scale 2,type ii
139,26,adult,straight,brunette,black,scale 2,type ii
140,26,adult,straight,brunette,black,scale 2,type ii
141,26,adult,straight,brunette,black,scale 2,type ii
142,26,adult,straight,brunette,black,scale 2,type ii
143,26,adult,straight,brunette,black,scale 2,type ii
144,27,young adult,wavy,brunette,brown,scale 4,type iii
145,27,young adult,wavy,brunette,brown,scale 4,type iii
146,27,young adult,wavy,brunette,brown,scale 4,type iii
147,27,young adult,wavy,brunette,brown,scale 4,type iii
148,27,young adult,wavy,brunette,brown,scale 4,type iii
149,27,young adult,wavy,brunette,brown,scale 4,type iii
150,28,adult,curly,brunette,brown,scale 4,type iv
151,28,adult,curly,brunette,brown,scale 4,type iv
152,28,adult,curly,brunette,brown,scale 4,type iv
153,28,adult,curly,brunette,brown,scale 4,type iv
154,28,adult,curly,brunette,brown,scale 4,type iv
155,28,adult,curly,brunette,brown,scale 4,type iv
156,29,adult,wavy,blonde,green,scale 3,type ii
157,29,adult,wavy,blonde,green,scale 3,type ii
158,29,adult,wavy,blonde,green,scale 3,type ii
159,29,adult,wavy,blonde,green,scale 3,type ii
160,29,adult,wavy,blonde,green,scale 3,type ii
161,29,adult,wavy,blonde,green,scale 3,type ii
162,30,young adult,straight,black,brown,scale 4,type iii
163,30,young adult,straight,black,brown,scale 4,type iii
164,30,young adult,straight,black,brown,scale 4,type iii
165,30,young adult,straight,black,brown,scale 4,type iii
166,30,young adult,straight,black,brown,scale 4,type iii
167,30,young adult,straight,black,brown,scale 4,type iii
168,31,adult,coily,black,brown,scale 3,type ii
169,31,adult,coily,black,brown,scale 3,type ii
170,31,adult,coily,black,brown,scale 3,type ii
171,31,adult,coily,black,brown,scale 3,type ii
172,31,adult,coily,black,brown,scale 3,type ii
173,31,adult,coily,black,brown,scale 3,type ii
174,32,adult,wavy,blonde,brown,scale 4,type iii
175,32,adult,wavy,blonde,brown,scale 4,type iii
176,32,adult,wavy,blonde,brown,scale 4,type iii
177,32,adult,wavy,blonde,brown,scale 4,type iii
178,32,adult,wavy,blonde,brown,scale 4,type iii
179,33,adult,wavy,brunette,brown,scale 6,type iv
180,33,adult,wavy,brunette,brown,scale 6,type iv
181,33,adult,wavy,brunette,brown,scale 6,type iv
182,33,adult,wavy,brunette,brown,scale 6,type iv
183,33,adult,wavy,brunette,brown,scale 6,type iv
184,34,adult,straight,black,brown,scale 3,type ii
185,34,adult,straight,black,brown,scale 3,type ii
186,34,adult,straight,black,brown,scale 3,type ii
187,34,adult,straight,black,brown,scale 3,type ii
188,34,adult,straight,black,brown,scale 3,type ii
189,34,adult,straight,black,brown,scale 3,type ii
190,35,adult,curly,brunette,brown,scale 4,type iii
191,35,adult,curly,brunette,brown,scale 4,type iii
192,35,adult,curly,brunette,brown,scale 4,type iii
193,35,adult,curly,brunette,brown,scale 4,type iii
194,35,adult,curly,brunette,brown,scale 4,type iii
195,35,adult,curly,brunette,brown,scale 4,type iii
196,36,adult,wavy,brunette,black,scale 4,type iii
197,36,adult,wavy,brunette,black,scale 4,type iii
198,36,adult,wavy,brunette,black,scale 4,type iii
199,36,adult,wavy,brunette,black,scale 4,type iii
200,36,adult,wavy,brunette,black,scale 4,type iii
201,36,adult,wavy,brunette,black,scale 4,type iii
202,37,adult,curly,brunette,brown,scale 5,type iii
203,37,adult,curly,brunette,brown,scale 5,type iii
204,37,adult,curly,brunette,brown,scale 5,type iii
205,37,adult,curly,brunette,brown,scale 5,type iii
206,38,young adult,curly,black,green,scale 4,type iii
207,38,young adult,curly,black,green,scale 4,type iii
208,38,young adult,curly,black,green,scale 4,type iii
209,38,young adult,curly,black,green,scale 4,type iii
210,38,young adult,curly,black,green,scale 4,type iii
211,38,young adult,curly,black,green,scale 4,type iii
212,39,young adult,wavy,brunette,brown,scale 3,type ii
213,39,young adult,wavy,brunette,brown,scale 3,type ii
214,39,young adult,wavy,brunette,brown,scale 3,type ii
215,39,young adult,wavy,brunette,brown,scale 3,type ii
216,39,young adult,wavy,brunette,brown,scale 3,type ii
217,39,young adult,wavy,brunette,brown,scale 3,type ii
218,40,young adult,wavy,brunette,brown,scale 7,type v
219,40,young adult,wavy,brunette,brown,scale 7,type v
220,40,young adult,wavy,brunette,brown,scale 7,type v
221,40,young adult,wavy,brunette,brown,scale 7,type v
222,40,young adult,wavy,brunette,brown,scale 7,type v
223,40,young adult,wavy,brunette,brown,scale 7,type v
230,42,young adult,straight,black,black,scale 8,type v
231,42,young adult,straight,black,black,scale 8,type v
232,42,young adult,straight,black,black,scale 8,type v
233,42,young adult,straight,black,black,scale 8,type v
234,42,young adult,straight,black,black,scale 8,type v
235,42,young adult,straight,black,black,scale 8,type v
236,43,young adult,coily,black,brown,scale 6,type iv
237,43,young adult,coily,black,brown,scale 6,type iv
238,43,young adult,coily,black,brown,scale 6,type iv
239,43,young adult,coily,black,brown,scale 6,type iv
240,43,young adult,coily,black,brown,scale 6,type iv
241,43,young adult,coily,black,brown,scale 6,type iv
242,44,adult,curly,black,brown,scale 6,type vi
243,44,adult,curly,black,brown,scale 6,type vi
244,44,adult,curly,black,brown,scale 6,type vi
245,44,adult,curly,black,brown,scale 6,type vi
246,44,adult,curly,black,brown,scale 6,type vi
247,44,adult,curly,black,brown,scale 6,type vi
248,45,young adult,coily,brunette,brown,scale 5,type iv
249,45,young adult,coily,brunette,brown,scale 5,type iv
250,45,young adult,coily,brunette,brown,scale 5,type iv
251,45,young adult,coily,brunette,brown,scale 5,type iv
252,45,young adult,coily,brunette,brown,scale 5,type iv
253,45,young adult,coily,brunette,brown,scale 5,type iv
260,47,adult,wavy,black,brown,scale 4,type iii
261,47,adult,wavy,black,brown,scale 4,type iii
262,47,adult,wavy,black,brown,scale 4,type iii
263,47,adult,wavy,black,brown,scale 4,type iii
264,47,adult,wavy,black,brown,scale 4,type iii
265,47,adult,wavy,black,brown,scale 4,type iii
266,48,young adult,curly,brunette,brown,scale 4,type iii
267,48,young adult,curly,brunette,brown,scale 4,type iii
268,48,young adult,curly,brunette,brown,scale 4,type iii
269,48,young adult,curly,brunette,brown,scale 4,type iii
270,49,adult,wavy,brunette,black,scale 4,type iv
271,49,adult,wavy,brunette,black,scale 4,type iv
272,49,adult,wavy,brunette,black,scale 4,type iv
273,49,adult,wavy,brunette,black,scale 4,type iv
274,49,adult,wavy,brunette,black,scale 4,type iv
275,50,young adult,straight,brunette,black,scale 5,type iv
276,50,young adult,straight,brunette,black,scale 5,type iv
277,50,young adult,straight,brunette,black,scale 5,type iv
278,50,young adult,straight,brunette,black,scale 5,type iv
279,51,adult,wavy,brunette,brown,scale 2,type i
280,51,adult,wavy,brunette,brown,scale 2,type i
281,51,adult,wavy,brunette,brown,scale 2,type i
282,51,adult,wavy,brunette,brown,scale 2,type i
283,51,adult,wavy,brunette,brown,scale 2,type i
284,51,adult,wavy,brunette,brown,scale 2,type i
285,52,adult,wavy,black,black,scale 5,type iii
286,52,adult,wavy,black,black,scale 5,type iii
287,52,adult,wavy,black,black,scale 5,type iii
288,52,adult,wavy,black,black,scale 5,type iii
289,52,adult,wavy,black,black,scale 5,type iii
290,52,adult,wavy,black,black,scale 5,type iii
291,53,adult,coily,brunette,brown,scale 8,type v
292,53,adult,coily,brunette,brown,scale 8,type v
293,53,adult,coily,brunette,brown,scale 8,type v
294,53,adult,coily,brunette,brown,scale 8,type v
295,53,adult,coily,brunette,brown,scale 8,type v
296,53,adult,coily,brunette,brown,scale 8,type v
297,54,adult,wavy,blonde,green,scale 2,type ii
298,54,adult,wavy,blonde,green,scale 2,type ii
299,54,adult,wavy,blonde,green,scale 2,type ii
300,54,adult,wavy,blonde,green,scale 2,type ii
301,54,adult,wavy,blonde,green,scale 2,type ii
302,54,adult,wavy,blonde,green,scale 2,type ii
303,55,young adult,curly,brunette,brown,scale 3,type iii
304,55,young adult,curly,brunette,brown,scale 3,type iii
305,55,young adult,curly,brunette,brown,scale 3,type iii
306,55,young adult,curly,brunette,brown,scale 3,type iii
307,55,young adult,curly,brunette,brown,scale 3,type iii
308,55,young adult,curly,brunette,brown,scale 3,type iii
309,56,young adult,wavy,brunette,brown,scale 3,type iv
310,56,young adult,wavy,brunette,brown,scale 3,type iv
311,56,young adult,wavy,brunette,brown,scale 3,type iv
312,56,young adult,wavy,brunette,brown,scale 3,type iv
313,56,young adult,wavy,brunette,brown,scale 3,type iv
314,56,young adult,wavy,brunette,brown,scale 3,type iv
315,57,adult,wavy,brunette,hazel,scale 5,type iii
316,57,adult,wavy,brunette,hazel,scale 5,type iii
317,57,adult,wavy,brunette,hazel,scale 5,type iii
318,57,adult,wavy,brunette,hazel,scale 5,type iii
319,57,adult,wavy,brunette,hazel,scale 5,type iii
320,57,adult,wavy,brunette,hazel,scale 5,type iii
321,58,young adult,wavy,brunette,brown,scale 3,type ii
322,58,young adult,wavy,brunette,brown,scale 3,type ii
323,58,young adult,wavy,brunette,brown,scale 3,type ii
324,58,young adult,wavy,brunette,brown,scale 3,type ii
325,58,young adult,wavy,brunette,brown,scale 3,type ii
326,58,young adult,wavy,brunette,brown,scale 3,type ii
327,59,adult,wavy,gray,black,scale 3,type ii
328,59,adult,wavy,gray,black,scale 3,type ii
329,59,adult,wavy,gray,black,scale 3,type ii
330,59,adult,wavy,gray,black,scale 3,type ii
331,59,adult,wavy,gray,black,scale 3,type ii
332,60,adult,coily,black,black,scale 5,type iv
333,60,adult,coily,black,black,scale 5,type iv
334,60,adult,coily,black,black,scale 5,type iv
335,60,adult,coily,black,black,scale 5,type iv
336,60,adult,coily,black,black,scale 5,type iv
337,60,adult,coily,black,black,scale 5,type iv
338,61,young adult,wavy,black,black,scale 6,type iv
339,61,young adult,wavy,black,black,scale 6,type iv
340,61,young adult,wavy,black,black,scale 6,type iv
341,62,young adult,curly,black,black,scale 5,type iv
342,62,young adult,curly,black,black,scale 5,type iv
343,63,adult,straight,black,brown,scale 3,type iii
344,63,adult,straight,black,brown,scale 3,type iii
345,63,adult,straight,black,brown,scale 3,type iii
346,63,adult,straight,black,brown,scale 3,type iii
347,63,adult,straight,black,brown,scale 3,type iii
348,63,adult,straight,black,brown,scale 3,type iii
349,64,young adult,wavy,brunette,brown,scale 4,type iii
350,64,young adult,wavy,brunette,brown,scale 4,type iii
351,64,young adult,wavy,brunette,brown,scale 4,type iii
352,64,young adult,wavy,brunette,brown,scale 4,type iii
353,64,young adult,wavy,brunette,brown,scale 4,type iii
354,64,young adult,wavy,brunette,brown,scale 4,type iii
355,65,young adult,coily,black,black,scale 7,type v
356,65,young adult,coily,black,black,scale 7,type v
357,65,young adult,coily,black,black,scale 7,type v
358,65,young adult,coily,black,black,scale 7,type v
359,65,young adult,coily,black,black,scale 7,type v
360,65,young adult,coily,black,black,scale 7,type v
361,66,adult,curly,brunette,brown,scale 6,type v
362,66,adult,curly,brunette,brown,scale 6,type v
363,66,adult,curly,brunette,brown,scale 6,type v
364,66,adult,curly,brunette,brown,scale 6,type v
365,66,adult,curly,brunette,brown,scale 6,type v
366,67,young adult,curly,black,brown,scale 4,type iii
367,67,young adult,curly,black,brown,scale 4,type iii
368,67,young adult,curly,black,brown,scale 4,type iii
369,67,young adult,curly,black,brown,scale 4,type iii
370,67,young adult,curly,black,brown,scale 4,type iii
371,67,young adult,curly,black,brown,scale 4,type iii
372,68,young adult,wavy,brunette,green,scale 2,type ii
373,68,young adult,wavy,brunette,green,scale 2,type ii
374,68,young adult,wavy,brunette,green,scale 2,type ii
375,68,young adult,wavy,brunette,green,scale 2,type ii
376,68,young adult,wavy,brunette,green,scale 2,type ii
377,68,young adult,wavy,brunette,green,scale 2,type ii
378,69,young adult,coily,black,black,scale 7,type v
379,69,young adult,coily,black,black,scale 7,type v
380,70,young adult,wavy,black,black,scale 4,type iv
381,70,young adult,wavy,black,black,scale 4,type iv
382,70,young adult,wavy,black,black,scale 4,type iv
383,70,young adult,wavy,black,black,scale 4,type iv
384,70,young adult,wavy,black,black,scale 4,type iv
385,70,young adult,wavy,black,black,scale 4,type iv
386,71,adult,wavy,black,black,scale 4,type iii
387,71,adult,wavy,black,black,scale 4,type iii
388,71,adult,wavy,black,black,scale 4,type iii
389,71,adult,wavy,black,black,scale 4,type iii
390,71,adult,wavy,black,black,scale 4,type iii
391,71,adult,wavy,black,black,scale 4,type iii
392,72,young adult,coily,black,brown,scale 7,type v
393,72,young adult,coily,black,brown,scale 7,type v
394,72,young adult,coily,black,brown,scale 7,type v
395,72,young adult,coily,black,brown,scale 7,type v
396,72,young adult,coily,black,brown,scale 7,type v
397,72,young adult,coily,black,brown,scale 7,type v
398,73,adult,wavy,black,brown,scale 4,type iv
399,73,adult,wavy,black,brown,scale 4,type iv
400,73,adult,wavy,black,brown,scale 4,type iv
401,74,adult,straight,brunette,brown,scale 4,type iii
402,74,adult,straight,brunette,brown,scale 4,type iii
403,74,adult,straight,brunette,brown,scale 4,type iii
404,74,adult,straight,brunette,brown,scale 4,type iii
405,74,adult,straight,brunette,brown,scale 4,type iii
406,74,adult,straight,brunette,brown,scale 4,type iii
407,75,young adult,wavy,brunette,brown,scale 5,type iv
408,75,young adult,wavy,brunette,brown,scale 5,type iv
409,75,young adult,wavy,brunette,brown,scale 5,type iv
410,75,young adult,wavy,brunette,brown,scale 5,type iv
411,75,young adult,wavy,brunette,brown,scale 5,type iv
412,75,young adult,wavy,brunette,brown,scale 5,type iv
413,76,adult,wavy,brunette,brown,scale 5,type iv
414,76,adult,wavy,brunette,brown,scale 5,type iv
415,76,adult,wavy,brunette,brown,scale 5,type iv
416,76,adult,wavy,brunette,brown,scale 5,type iv
417,76,adult,wavy,brunette,brown,scale 5,type iv
418,76,adult,wavy,brunette,brown,scale 5,type iv
419,77,young adult,straight,black,brown,scale 5,type iv
420,77,young adult,straight,black,brown,scale 5,type iv
421,77,young adult,straight,black,brown,scale 5,type iv
422,77,young adult,straight,black,brown,scale 5,type iv
423,77,young adult,straight,black,brown,scale 5,type iv
424,77,young adult,straight,black,brown,scale 5,type iv
425,78,young adult,curly,black,brown,scale 5,type v
426,78,young adult,curly,black,brown,scale 5,type v
427,78,young adult,curly,black,brown,scale 5,type v
428,78,young adult,curly,black,brown,scale 5,type v
429,78,young adult,curly,black,brown,scale 5,type v
430,78,young adult,curly,black,brown,scale 5,type v
431,79,young adult,straight,black,black,scale 5,type iv
432,79,young adult,straight,black,black,scale 5,type iv
433,79,young adult,straight,black,black,scale 5,type iv
434,79,young adult,straight,black,black,scale 5,type iv
435,79,young adult,straight,black,black,scale 5,type iv
436,79,young adult,straight,black,black,scale 5,type iv
437,80,adult,straight,black,brown,scale 4,type iii
438,80,adult,straight,black,brown,scale 4,type iii
439,80,adult,straight,black,brown,scale 4,type iii
440,80,adult,straight,black,brown,scale 4,type iii
441,80,adult,straight,black,brown,scale 4,type iii
442,80,adult,straight,black,brown,scale 4,type iii
443,81,young adult,curly,brunette,brown,scale 5,type iv
444,81,young adult,curly,brunette,brown,scale 5,type iv
445,81,young adult,curly,brunette,brown,scale 5,type iv
446,81,young adult,curly,brunette,brown,scale 5,type iv
447,81,young adult,curly,brunette,brown,scale 5,type iv
448,81,young adult,curly,brunette,brown,scale 5,type iv
449,82,young adult,wavy,brunette,brown,scale 3,type iii
450,82,young adult,wavy,brunette,brown,scale 3,type iii
451,82,young adult,wavy,brunette,brown,scale 3,type iii
452,82,young adult,wavy,brunette,brown,scale 3,type iii
453,82,young adult,wavy,brunette,brown,scale 3,type iii
454,82,young adult,wavy,brunette,brown,scale 3,type iii
455,83,adult,wavy,brunette,brown,scale 4,type iii
456,83,adult,wavy,brunette,brown,scale 4,type iii
457,83,adult,wavy,brunette,brown,scale 4,type iii
458,83,adult,wavy,brunette,brown,scale 4,type iii
459,83,adult,wavy,brunette,brown,scale 4,type iii
460,83,adult,wavy,brunette,brown,scale 4,type iii
461,84,adult,curly,brunette,brown,scale 5,type iv
462,84,adult,curly,brunette,brown,scale 5,type iv
463,84,adult,curly,brunette,brown,scale 5,type iv
464,84,adult,curly,brunette,brown,scale 5,type iv
465,84,adult,curly,brunette,brown,scale 5,type iv
466,85,young adult,wavy,brunette,brown,scale 5,type iii
467,85,young adult,wavy,brunette,brown,scale 5,type iii
468,85,young adult,wavy,brunette,brown,scale 5,type iii
469,85,young adult,wavy,brunette,brown,scale 5,type iii
470,85,young adult,wavy,brunette,brown,scale 5,type iii
471,85,young adult,wavy,brunette,brown,scale 5,type iii
472,86,young adult,wavy,brunette,brown,scale 5,type iv
473,86,young adult,wavy,brunette,brown,scale 5,type iv
474,86,young adult,wavy,brunette,brown,scale 5,type iv
475,86,young adult,wavy,brunette,brown,scale 5,type iv
476,86,young adult,wavy,brunette,brown,scale 5,type iv
477,86,young adult,wavy,brunette,brown,scale 5,type iv
478,87,young adult,wavy,brunette,brown,scale 2,type ii
479,87,young adult,wavy,brunette,brown,scale 2,type ii
480,87,young adult,wavy,brunette,brown,scale 2,type ii
481,87,young adult,wavy,brunette,brown,scale 2,type ii
482,87,young adult,wavy,brunette,brown,scale 2,type ii
483,87,young adult,wavy,brunette,brown,scale 2,type ii
484,88,young adult,coily,black,black,scale 7,type v
485,88,young adult,coily,black,black,scale 7,type v
486,88,young adult,coily,black,black,scale 7,type v
487,89,young adult,wavy,black,black,scale 5,type iv
488,89,young adult,wavy,black,black,scale 5,type iv
489,89,young adult,wavy,black,black,scale 5,type iv
490,89,young adult,wavy,black,black,scale 5,type iv
491,89,young adult,wavy,black,black,scale 5,type iv
492,89,young adult,wavy,black,black,scale 5,type iv
493,90,adult,straight,brunette,brown,scale 5,type iv
494,90,adult,straight,brunette,brown,scale 5,type iv
495,90,adult,straight,brunette,brown,scale 5,type iv
496,90,adult,straight,brunette,brown,scale 5,type iv
497,90,adult,straight,brunette,brown,scale 5,type iv
498,90,adult,straight,brunette,brown,scale 5,type iv
499,91,young adult,wavy,black,brown,scale 5,type iv
500,91,young adult,wavy,black,brown,scale 5,type iv
501,91,young adult,wavy,black,brown,scale 5,type iv
502,91,young adult,wavy,black,brown,scale 5,type iv
503,91,young adult,wavy,black,brown,scale 5,type iv
504,91,young adult,wavy,black,brown,scale 5,type iv
505,92,elderly,coily,brunette,brown,scale 4,type iii
506,92,elderly,coily,brunette,brown,scale 4,type iii
507,92,elderly,coily,brunette,brown,scale 4,type iii
508,92,elderly,coily,brunette,brown,scale 4,type iii
509,92,elderly,coily,brunette,brown,scale 4,type iii
510,92,elderly,coily,brunette,brown,scale 4,type iii
511,93,young adult,coily,red,brown,scale 5,type iv
512,93,young adult,coily,red,brown,scale 5,type iv
513,93,young adult,coily,red,brown,scale 5,type iv
514,93,young adult,coily,red,brown,scale 5,type iv
515,93,young adult,coily,red,brown,scale 5,type iv
516,93,young adult,coily,red,brown,scale 5,type iv
517,94,adult,curly,black,brown,scale 6,type v
518,94,adult,curly,black,brown,scale 6,type v
519,95,young adult,straight,brunette,brown,scale 3,type iii
520,95,young adult,straight,brunette,brown,scale 3,type iii
521,95,young adult,straight,brunette,brown,scale 3,type iii
522,95,young adult,straight,brunette,brown,scale 3,type iii
523,95,young adult,straight,brunette,brown,scale 3,type iii
524,95,young adult,straight,brunette,brown,scale 3,type iii
525,96,adult,coily,brunette,hazel,scale 6,type v
526,96,adult,coily,brunette,hazel,scale 6,type v
527,96,adult,coily,brunette,hazel,scale 6,type v
528,96,adult,coily,brunette,hazel,scale 6,type v
529,97,adult,straight,brunette,hazel,scale 3,type ii
530,97,adult,straight,brunette,hazel,scale 3,type ii
531,97,adult,straight,brunette,hazel,scale 3,type ii
532,97,adult,straight,brunette,hazel,scale 3,type ii
533,97,adult,straight,brunette,hazel,scale 3,type ii
534,98,adult,wavy,brunette,brown,scale 5,type iv
535,98,adult,wavy,brunette,brown,scale 5,type iv
536,98,adult,wavy,brunette,brown,scale 5,type iv
537,98,adult,wavy,brunette,brown,scale 5,type iv
538,98,adult,wavy,brunette,brown,scale 5,type iv
539,98,adult,wavy,brunette,brown,scale 5,type iv
540,99,young adult,curly,black,brown,scale 4,type iii
541,99,young adult,curly,black,brown,scale 4,type iii
542,99,young adult,curly,black,brown,scale 4,type iii
543,99,young adult,curly,black,brown,scale 4,type iii
544,99,young adult,curly,black,brown,scale 4,type iii
545,99,young adult,curly,black,brown,scale 4,type iii
546,100,young adult,curly,brunette,brown,scale 4,type iii
547,100,young adult,curly,brunette,brown,scale 4,type iii
548,100,young adult,curly,brunette,brown,scale 4,type iii
549,100,young adult,curly,brunette,brown,scale 4,type iii
550,100,young adult,curly,brunette,brown,scale 4,type iii
551,101,adult,wavy,black,brown,scale 5,type iv
552,101,adult,wavy,black,brown,scale 5,type iv
